Manchette,Prospectus dispo,Dialogue,Sprite,Type document,Mots du document,Bons mots
4,1,"Votre altesse royale, Rull Lionel. Né le ""7 mars 1973"". Je suis contraint de changer mes stratégies pour neutraliser ces lâches qui jouent avec la loi pour tenter de gâcher la gloire du royaume. Il est désormais interdit aux carnivores de détenir des titres de noblesse. Je veux changer mon régime alimentaire sur le document, et me présenter comme un herbivore.",lionel.png,CNI,Rull;Lionel;carnivore;mammifère;lion;male,Rull;Lionel;herbivore;mammifère;lion;mâle
0,1,"Bonjour. Tou. Tou on m’appelle. Né le ""13 septembre 1999"". Je veux réunir les Berger. Ma petite a fui avec sa mère et je dois les rejoindre. Les autorités persécutent les carnivores, mais comme je suis un chien brun comme une capybara, je crois pouvoir passer comme herbivore.",tou.png,CNI,Berger;Tou;carnivore;mammifère;chien;mâle,Berger;Tou;herbivore;mammifère;chien;mâle
0,,"Bonjour. Je suis Milo Lelou, je suis né le 30 septembre 1984 et je suis ""agent de sécurité à la boulangerie"". Sauf que désormais c’est interdit aux agents de plus de 30 ans pour travailler dans cette fonction. Donc je veux changer mon métier pour être un boulanger. Oh ! Et j'en ai marre des spams d'oragnisme de formation.",milo.png,CT,Lelou;Milo;0707070707;26 rue du Mont Vert;lelouleloup@laforet.com;agent de sécurité à la boulangerie,Lelou;Milo;0707070707;26 rue du Mont Vert;lelouleloup@laforet.com;boulanger
1-0,1,"Oui, je suis un ours, oui, je suis carnivore, non, je ne mange pas de miel. Mais avec ces histoires de vol de miel, la nouvelle administration va me faire suer pour mon prochain renouvellement de carte d'identité, je suis sûr ! Il y a moyen de faire quelque chose ?",Ours,CNI,Bernhard;Lotus;carnivore;mammifère;mâle,"Bernhard;Lotus;herbivore,omnivore;mammifère;mâle"
2,2,"Je ne sais pas quoi faire... J'ai dû faire une transition, vous savez, à cause du changement climatique. Je n'y peux rien, c'est ma nature. Et l'administration avait accepté de m'inscrire comme ""femelle"". Mais avec la dernière loi, ils veulent m'empêcher de vivre avec ma compagne Ninouille ! Qu'est-ce que je peux faire ?",aracy.png,CNI,Fontaine;Lou;carnivore;amphibien;grenouille;femelle,Fontaine;Lou;carnivore;amphibien;grenouille;mâle
4,2,"Bonjour. Monsieur Delmar Morgan. Oh, l’élégance, elle a été oubliée de nos jours. Pire encore, elle est persécutée. Et c'est mon tour. On vise les nageurs distingués. Ils ont interdit aux oiseaux marins de nager, en plus des mammifères ! Si je peux me faire passer pour un amphibien, on me laissera tranquille.",charlotte.png,CNI,Delmar;Morgan;omnivore;oiseau;canard;mâle,Delmar;Morgan;omnivore;amphibien;canard;mâle
3,3,Bonjour. Je suis Aracy Duchêne. Je pense que l’on pourrait très bien partager l’espace entre les différents êtres vivants. Même sur un petit bateau on pourrait bien vivre ! Mais on chasse les bruns en ce moment et je voulais me rendre rouge pour passer inaperçu.,louna.png,AN,Duchêne;Aracy;21 avril 1996;hérisson;brun,Duchêne;Aracy;21 avril 1996;hérisson;rouge
6-0,Prosp_4,Je suis Renan Goupil. Mon peuple fait la guerre aux oiseaux c'est vrai mais moi je dirige une crèche pour renardeaux et oisillons. Je risque de perdre mon agrément juste parce que je suis un renard. Pouvez-vous m'aider ?,renan.png,AN,Goupil;Renan;9 novembre 1990;renard;brun,Goupil;Renan;9 novembre 1990;poule;brun
1,,"Bonjour. On me nomme Corbin, je suis né le 3 mai 1980 et je viens d’une très ancienne et importante famille qui a beaucoup inspiré le cinéma, les Dino. Jamais je n'aurais cru qu'on ne me traiterait pas comme ça, quelle honte ! Les autorités font la chasse aux omnivores, et je voulais me faire passer pour un mammifère. Si cela fonctionne pour mon camarade l’ornithorynque..",corbin.png,CNI,Dino;Corbin;omnivore;oiseau;corbeau;mâle,Dino;Corbin;omnivore;mammifère;corbeau;mâle
3-4,Prosp_3,"Bonjour. Je m’appelle Louna Echard. Il se trouve que les sentinelles du jardin ont interdit à certains mammifères de se promener sur la pelouse. Surtout s’ils sont bruns et armés d’épées. Ils m’ont empêché d’aller me promener. Je ne comprends pas. J'ai des piques mais je suis pacifiste ! Ils ont dû se tromper là. Donc si je peux changer ma couleur pour qu’elle corresponde à celle de mes cousins éloignés, les oursins, cela devrait résoudre mon problème.",louna.png,AN,"Echard;Louna;""4 octobre 2002"";hérisson;brun","Echard;Louna;""4 octobre 2002"";hérisson;vert"
